samples,ranks,devices,time,mode
1000,1,4,1.06,serial
5000,1,4,1.03,serial
10000,1,4,1.02,serial
20000,1,4,1.02,serial
50000,1,4,1.02,serial
1000,1,4,0.96,mpi
1000,2,8,1.00,mpi
1000,4,16,1.05,mpi
1000,8,32,1.11,mpi
1000,16,64,1.24,mpi
5000,1,4,0.97,mpi
5000,2,8,1.00,mpi
5000,4,16,1.04,mpi
5000,8,32,1.11,mpi
5000,16,64,1.24,mpi
10000,1,4,0.98,mpi
10000,2,8,1.00,mpi
10000,4,16,1.05,mpi
10000,8,32,1.12,mpi
10000,16,64,1.24,mpi
20000,1,4,1.00,mpi
20000,2,8,1.01,mpi
20000,4,16,1.06,mpi
20000,8,32,1.12,mpi
20000,16,64,1.25,mpi
50000,1,4,1.06,mpi
50000,2,8,1.05,mpi
50000,4,16,1.08,mpi
50000,8,32,1.13,mpi
50000,16,64,1.25,mpi
