samples,ranks,devices,time,mode
100000,1,64,46.72,serial
100000,1,64,32.14,mpi
100000,2,64,16.70,mpi
100000,4,64,9.35,mpi
100000,8,64,5.84,mpi
100000,16,64,4.20,mpi
100000,32,64,3.23,mpi
500000,1,64,84.83,serial
500000,1,64,70.85,mpi
500000,2,64,35.89,mpi
500000,4,64,19.74,mpi
500000,8,64,11.98,mpi
500000,16,64,8.68,mpi
500000,32,64,6.43,mpi
1000000,1,64,96.39,serial
1000000,1,64,119.49,mpi
1000000,2,64,60.68,mpi
1000000,4,64,33.99,mpi
1000000,8,64,21.66,mpi
1000000,16,64,17.02,mpi
1000000,32,64,12.05,mpi
5000000,1,64,161.03,serial
5000000,1,64,571.50,mpi
5000000,2,64,316.23,mpi
5000000,4,64,178.26,mpi
5000000,8,64,110.96,mpi
5000000,16,64,94.24,mpi
5000000,32,64,68.96,mpi
10000000,1,64,276.59,serial
10000000,1,64,1240.21,mpi
10000000,2,64,667.91,mpi
10000000,4,64,382.81,mpi
10000000,8,64,240.90,mpi
10000000,16,64,194.20,mpi
10000000,32,64,140.19,mpi
